Search keyword report,,,,,,,,,,,,,,,,,,,,
"October 1, 2025 - March 31, 2026",,,,,,,,,,,,,,,,,,,,
Keyword status,Keyword,Campaign,Quality Score,Landing page exp.,Ad relevance,Exp. CTR,,,,,,,,,,,,,,
Enabled,[chobani complete key lime],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete key lime],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete key lime],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani complete yogurt drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete yogurt drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete yogurt drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete blueberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete blueberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete blueberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani yogurt complete],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani yogurt complete],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani yogurt complete],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani complete drinkable yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete drinkable yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete drinkable yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani protein shakes],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani protein shakes],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani protein shakes],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete 25g protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete 25g protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete 25g protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani complete vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete strawberry cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete strawberry cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete strawberry cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani peach],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani peach],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani peach],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete calories],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete calories],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete calories],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete mixed berry yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete mixed berry yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete mixed berry yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani complete smoothie],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete smoothie],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete smoothie],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete mixed berry vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete mixed berry vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete mixed berry vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani complete ingredients],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete ingredients],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete ingredients],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani complete banana cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete banana cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete banana cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani complete],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[chobani complete yogurt nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete yogurt nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --,Enabled,[chobani complete yogurt nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES, --, --, --, --
Enabled,[chobani strawberry cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani strawberry cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[chobani strawberry cream],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackConquestingGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[glp diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[glp1 food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[glp1 food],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 food],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 food],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[GLP1 diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[GLP1 snacks],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 snacks],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 snacks],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[tirzepatide diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[tirzepatide diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[tirzepatide diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[glp 1 diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp 1 diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp 1 diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[best GLP1 foods],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best GLP1 foods],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best GLP1 foods],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[glp 1 food intake],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp 1 food intake],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp 1 food intake],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[glp1 protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[GLP1 diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[Snacks while taking glp1],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[Snacks while taking glp1],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[Snacks while taking glp1],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --
Enabled,[glp 1 diet near me],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[glp 1 diet near me],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[glp 1 diet near me],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --
Enabled,[glp1 food ideas],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 food ideas],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[glp1 food ideas],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[GLP1 friendly snacks],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 friendly snacks],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[GLP1 friendly snacks],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[best diet for mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet for mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet for mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[mounjaro diet tips],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[mounjaro diet tips],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[mounjaro diet tips],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --
Enabled,[mounjaro and diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[mounjaro and diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[mounjaro and diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --
Enabled,[manjaro diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[manjaro diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[manjaro diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet for mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet for mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet for mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
