Top pages,1/1/26 - 3/31/26 Clicks,10/1/25 - 12/31/25 Clicks,1/1/26 - 3/31/26 Impressions,10/1/25 - 12/31/25 Impressions,1/1/26 - 3/31/26 CTR,10/1/25 - 12/31/25 CTR,1/1/26 - 3/31/26 Position,10/1/25 - 12/31/25 Position
https://www.oikos.com/greek-yogurt-recipes/desserts/,129,151,10813,12221,1.19%,1.24%,21.92,20.51
https://www.oikos.com/all-products/remix/product/salted-caramel/,127,115,14056,15932,0.90%,0.72%,6.28,5.22
https://www.oikos.com/protein-101/complete-protein/,119,64,17507,8064,0.68%,0.79%,6.16,4.49
https://www.oikos.com/stronger-makes-everything-better-with-Kathryn-Hahn-and-Derrick-Henry/,117,0,6645,0,1.76%,0%,4.75,0
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mango-shot/,113,68,12450,22919,0.91%,0.30%,7.17,6.23
https://www.oikos.com/all-products/fusion/product/vanilla/,110,48,16875,4420,0.65%,1.09%,6.72,5.38
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach/,96,63,20361,10077,0.47%,0.63%,9.83,7.42
https://www.oikos.com/greek-yogurt-recipes/breakfast/,91,110,10953,12421,0.83%,0.89%,16.27,14.05
https://www.oikos.com/all-products/triple-zero/product/vanilla-strawberry-mixed-berry-multipack/,88,140,55873,67994,0.16%,0.21%,5.96,2.77
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/classic-yogurt-bundt-cake/,85,50,1632,1038,5.21%,4.82%,7.74,7.89
https://www.oikos.com/all-products/oikos-protein-shakes/product/chocolate-18-pack/,79,0,16390,0,0.48%,0%,6.81,0
https://www.oikos.com/greek-yogurt-recipes/savory/,76,171,6236,9617,1.22%,1.78%,14.94,11.74
https://www.oikos.com/greek-yogurt-recipes/smoothies/recipe/fruit-smoothies/,70,32,9264,6649,0.76%,0.48%,13.71,12.86
https://www.oikos.com/all-products/oikos-protein-shakes/product/vanilla-4-pack/,64,11,31876,14985,0.20%,0.07%,2.64,4.67
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/cherry/,62,42,14740,10935,0.42%,0.38%,7.66,4.86
https://www.oikos.com/all-products/remix/product/berry-dark-chocolate-crisp/,59,14,5266,974,1.12%,1.44%,7.64,9.37
https://www.oikos.com/our-impact/,53,30,3092,994,1.71%,3.02%,7.63,4.4
https://www.oikos.com/all-products/triple-zero/product/strawberry-mixed-berry-multipack/,52,32,26414,14478,0.20%,0.22%,7.2,6.5
https://www.oikos.com/b-corp/,51,27,11205,60879,0.46%,0.04%,7.49,6.95
https://www.oikos.com/all-products/triple-zero/product/strawberry-multipack/,49,20,15544,8163,0.32%,0.25%,4.66,5.22
https://www.oikos.com/protein-101/protein-and-exercise/,46,24,17565,4812,0.26%,0.50%,4.54,3.55
https://www.oikos.com/greek-yogurt-recipes/smoothies/recipe/sweet-summer-smoothie-with-oikos/,41,7,5459,5505,0.75%,0.13%,5.69,5.14
https://www.oikos.com/nutrition-and-fitness-professionals/,40,38,2255,30522,1.77%,0.12%,17.26,6.73
https://www.oikos.com/protein-101/benefits-of-protein/,38,13,9702,3043,0.39%,0.43%,7.32,3.84
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/greek-yogurt-banana-cranberry-bread/,38,36,587,736,6.47%,4.89%,15.58,16.79
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/vanilla-pound-cake/,36,22,2278,3548,1.58%,0.62%,15.52,13.28
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/puffed-greek-yogurt-pancake/,36,22,885,537,4.07%,4.10%,7.33,10.14
https://www.oikos.com/our-story/,33,18,5278,1360,0.63%,1.32%,9.37,7.7
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/greek-key-lime-pie/,31,17,1524,3557,2.03%,0.48%,16.55,11.32
https://www.oikos.com/all-products/oikos-protein-shakes/product/vanilla-12-pack/,30,21,7465,14437,0.40%,0.15%,6.38,4.47
https://www.oikos.com/all-products/oikos-protein-shakes/product/chocolate-4-pack/,28,4,18854,3334,0.15%,0.12%,3.3,7.73
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach-multipack/,23,10,4091,3237,0.56%,0.31%,12.66,7.97
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/whole-grain-greek-yogurt-pancakes/,20,16,1331,607,1.50%,2.64%,15.21,17.29
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/chocolate-yogurt-banana-bread/,20,11,901,373,2.22%,2.95%,10.86,9.4
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/spice-cake/,20,19,483,432,4.14%,4.40%,9.02,9.4
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/cheesecake-with-lemon-curd/,18,11,1802,3602,1%,0.31%,8.75,9.29
https://www.oikos.com/all-products/triple-zero/product/cherry-multipack/,15,5,7327,2838,0.20%,0.18%,4.02,5.59
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/baked-creamy-yogurt-polenta/,15,8,670,452,2.24%,1.77%,5.05,8.57
https://www.oikos.com/all-products/triple-zero/product/blueberry-multipack/,14,4,4281,2525,0.33%,0.16%,4.14,4.37
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/,14,34,2385,2793,0.59%,1.22%,26.57,21.38
https://www.oikos.com/stronger-makes-everything-better/,14,23,1115,2541,1.26%,0.91%,6.92,5.99
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-multipack/,13,6,4115,19178,0.32%,0.03%,7.27,5.26
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/yogurt-fruit-and-almond-parfaits/,12,1,911,244,1.32%,0.41%,6.64,6.45
https://www.oikos.com/all-products/oikos-protein-shakes/product/salted-caramel-4-pack/,11,3,3983,4699,0.28%,0.06%,5.74,7.18
https://www.oikos.com/all-products/oikos-protein-shakes/product/chocolate-15-pack/,11,11,3785,1060,0.29%,1.04%,11.9,11.99
https://www.oikos.com/all-products/oikos-protein-shakes/product/vanilla-15-pack/,11,0,2097,0,0.52%,0%,11.96,0
https://www.oikos.com/greek-yogurt-recipes/seasonal/recipe/spiced-apple-crumble/,11,17,1270,1174,0.87%,1.45%,6.17,7.36
https://www.oikos.com/all-products/triple-zero/product/peach-strawberry-mixed-berry-multipack/,10,11,7572,6298,0.13%,0.17%,9.35,4.81
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-banana-drink,10,0,451,0,2.22%,0%,8.37,0
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mango-pineapple-drink,10,0,306,40,3.27%,0%,8.29,5.3
https://www.oikos.com/all-products/triple-zero/product/peach-multipack/,9,5,4900,1929,0.18%,0.26%,7.44,7.82
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach,9,0,1276,0,0.71%,0%,12.15,0
https://www.oikos.com/home,9,9,985,501,0.91%,1.80%,11.56,14.6
https://www.oikos.com/all-products/triple-zero/product/vanilla-peach-value-pack/,8,3,6043,1031,0.13%,0.29%,9.22,5.09
https://www.oikos.com/greek-yogurt-recipes/smoothies/recipe/berry-banana-smoothie/,8,11,2334,4460,0.34%,0.25%,6.48,6.3
https://www.oikos.com/greek-yogurt-recipes/smoothies/recipe/power-berry-freeze-smoothie/,8,3,1358,218,0.59%,1.38%,6.56,2.73
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/fruit-scones/,8,7,865,316,0.92%,2.22%,23.77,25.74
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/crab-dip/,8,4,599,499,1.34%,0.80%,8.07,8.24
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/cookie-dough-bowl/,8,21,361,412,2.22%,5.10%,7.03,7.48
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla-multipack/,7,5,3419,74901,0.20%,0.01%,11.74,5.22
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/banana-berry-breakfast-crumble/,7,0,307,73,2.28%,0%,7.08,8.18
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla,6,0,1381,0,0.43%,0%,5.09,0
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/buffalo-yogurt-dip/,6,5,1148,484,0.52%,1.03%,10.69,15.77
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/chicken-gyros-rolls-and-homemade-tzatziki-with-greek-yogurt/,6,3,576,315,1.04%,0.95%,6.18,4.57
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/mediterranean-bbq-chicken/,6,1,387,210,1.55%,0.48%,19.67,22.36
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mixed-berry-multipack/,5,5,2519,17058,0.20%,0.03%,15.18,6.13
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/fluffy-biscuits-with-strawberries/,5,0,808,235,0.62%,0%,6.5,17.23
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/creamy-spiced-hummus/,5,0,396,162,1.26%,0%,18.07,29.28
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla-quart,4,0,1306,0,0.31%,0%,11.49,0
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/creamy-mac-and-cheese/,4,3,544,249,0.74%,1.20%,16.74,14.28
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/banana-mango-breakfast-popsicles/,4,5,270,151,1.48%,3.31%,14.1,16.62
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla-multipack,3,0,1953,0,0.15%,0%,22.13,0
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/raspberry-yogurt-chocolate-roll/,3,1,368,473,0.82%,0.21%,15.3,38.35
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/golden-yellow-cupcakes/,3,1,343,298,0.87%,0.34%,25.85,27.28
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/caesar-dressing-recipe/,3,2,268,147,1.12%,1.36%,35.31,52.03
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/tuscany-harvest-dip/,3,1,103,57,2.91%,1.75%,10.07,9.68
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/creamy-avocado-dip/,2,0,483,167,0.41%,0%,41.14,46.27
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/roasted-red-pepper-soup-yogurt-pesto-swirl/,2,1,326,161,0.61%,0.62%,7.75,6.2
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/greek-style-feta-dip/,2,0,145,97,1.38%,0%,11.85,11.65
https://www.oikos.com/greek-yogurt-recipes/seasonal/,1,0,677,47,0.15%,0%,27.5,8.15
https://www.oikos.com/greek-yogurt-recipes/seasonal/recipe/pumpkin-yogurt-delight/,1,16,325,669,0.31%,2.39%,16.84,8.22
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/breakfast-doughnuts/,1,1,294,44,0.34%,2.27%,4.64,4.8
https://www.oikos.com/greek-yogurt-recipes/breakfast/recipe/oikos-parfait/,1,1,207,122,0.48%,0.82%,4.6,4.52
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/chickpea-shawarma-lemon-dill-yogurt-sauce/,1,1,173,44,0.58%,2.27%,6.53,7.45
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/waffle-sandwiches/,1,0,157,56,0.64%,0%,10.25,9.89
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/dijon-salmon-cakes-and-arugula-with-lemon-caper-oil/,1,0,116,25,0.86%,0%,11.6,11.24
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/carrot-ginger-soup/,1,1,87,39,1.15%,2.56%,16.43,12.69
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach-multipack,1,0,79,0,1.27%,0%,8.39,0
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/warm-artichoke-and-onion-dip/,1,0,59,19,1.69%,0%,11.32,11.21
https://www.oikos.com/greek-yogurt-recipes/dips-and-dressings/recipe/pretzels-bites-and-spicy-queso/,1,1,41,152,2.44%,0.66%,12.66,9.45
https://www.oikos.com/all-products/triple-zero/product/vanilla-multipack/?bvstate=pg:2/ct:r,1,1,24,39,4.17%,2.56%,18.46,7.26
https://www.oikos.com/all-products/pro/,1,0,20,3,5%,0%,1.9,3.33
https://www.oikos.com/products/yogurt/oikos-triple-zero-chocolate,1,0,5,0,20%,0%,1,0
http://oikos.com/,1,0,1,0,100%,0%,1,0
https://www.oikos.com/all-products/oikos-protein-shakes/product/salted-caramel-12-pack/,0,0,519,0,0%,0%,5.97,0
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/creamy-mashed-potatoes/,0,0,493,279,0%,0%,35.17,43.29
https://www.oikos.com/greek-yogurt-recipes/desserts/recipe/yogurt-berry-trifle/,0,0,346,340,0%,0%,8.18,6.21
https://www.oikos.com/greek-yogurt-recipes/seasonal/recipe/spiced-apple-cake/,0,4,262,169,0%,2.37%,16.79,23.76
https://www.oikos.com/all-products/triple-zero/product/vanilla/?bvstate=pg:2/ct:r,0,1,197,540,0%,0.19%,20.84,12.56
https://www.oikos.com/greek-yogurt-recipes/seasonal/recipe/mini-pumpkin-pie-bites/,0,1,130,77,0%,1.30%,34.65,22.94
http://www.oikos.com/,0,0,91,50,0%,0%,5.49,5.44
https://oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla-pro-yogurt,0,0,87,0,0%,0%,1.02,0
https://www.oikos.com/greek-yogurt-recipes/savory/recipe/chickpea-and-cauliflower-curry/,0,0,70,35,0%,0%,16.64,15.17
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla-multipack/?bvstate=pg:2/ct:r,0,0,64,56,0%,0%,11.42,16.21
https://oikos.com/mx/es/discover/buy-devices.html,0,0,61,0,0%,0%,3.07,0
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-multipack/?bvstate=pg:2/ct:r,0,0,54,0,0%,0%,8.74,0
https://www.oikos.com/greek-yogurt-recipes/seasonal/recipe/pumpkin-nut-cake/,0,0,49,24,0%,0%,19.71,11.92
https://www.oikos.com/content/dam/edp/local/noram/oikos/categories/home-product-grid/Oikos_Triple_Zero_Resized.png,0,0,36,2,0%,0%,18.83,21.5
https://www.oikos.com/all-products/triple-zero/product/mixed-berry/?bvstate=pg:2/ct:r,0,0,35,39,0%,0%,11.46,9.44
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry/?bvstate=pg:2/ct:r,0,0,31,24,0%,0%,8.13,12.12
https://www.oikos.com/all-products/triple-zero/product/vanilla-quart/?bvstate=pg:2/ct:r,0,0,27,56,0%,0%,6.37,7.29
https://www.oikos.com/greek-yogurt-recipes/seasonal/recipe/pumpkin-meringue/,0,0,26,15,0%,0%,30.73,6.8
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/banana/?bvstate=pg:2/ct:r,0,0,25,5,0%,0%,11.4,11.4
https://www.oikos.com/frequently-asked-questions/#accordion-799654b5e6-item-b36ffed31f,0,0,15,0,0%,0%,1,0
https://www.oikos.com/all-products/triple-zero/product/strawberry-multipack/?bvstate=pg:2/ct:r,0,0,15,21,0%,0%,14.2,8.95
https://www.oikos.com/all-products/oikos-protein-shakes/product/vanilla,0,0,14,69,0%,0%,2.79,3.28
https://oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,0,0,13,0,0%,0%,2.46,0
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla/?bvstate=pg:2/ct:r,0,0,11,9,0%,0%,7.55,7.33
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mixed-berry/?bvstate=pg:2/ct:r,0,0,9,0,0%,0%,3.89,0
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-multipack?bvstate=pg:2/ct:r,0,1,9,83,0%,1.20%,9.11,16.55
https://www.oikos.com/all-products/triple-zero/product/blueberry/?bvstate=pg:2/ct:r,0,0,8,1,0%,0%,5.75,4
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach-multipack?wptouch_preview_theme=enabled,0,0,7,40,0%,0%,3.57,7.35
https://www.oikos.com/all-products/oikos-protein-shakes/product/vanilla-18-pack/?bvstate=pg:2/ct:r,0,0,7,0,0%,0%,6.71,0
https://www.oikos.com/contact,0,0,5,0,0%,0%,3.8,0
https://www.oikos.com/greek-yogurt/triple-zero/,0,0,4,7,0%,0%,2.5,2.43
https://www.oikos.com/content/dam/edp/local/noram/oikos/products/oikos-remix/oikos-remix-cookies-cream-greek-yogurt.png,0,0,4,0,0%,0%,12,0
https://oikos.com/frequently-asked-questions/,0,0,3,0,0%,0%,1,0
https://www.oikos.com/greek-yogurt/pro/,0,0,3,3,0%,0%,1.33,1.67
https://oikos.com/,0,0,3,0,0%,0%,1.67,0
https://www.oikos.com/all-products/triple-zero/product/strawberry/?bvstate=pg:2/ct:r,0,0,3,4,0%,0%,3.33,7
https://oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/plain-quart/,0,0,2,0,0%,0%,1,0
https://www.oikos.com/all-products/pro,0,0,2,0,0%,0%,1,0
https://www.oikos.com/products/oikos-pro-drinks,0,0,2,0,0%,0%,1,0
https://www.oikos.com/all-products/triple-zero/product/cherry/?bvstate=pg:2/ct:r,0,0,2,7,0%,0%,5,7.43
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/key-lime/?bvstate=pg:2/ct:r,0,0,2,0,0%,0%,6,0
https://www.oikos.com/all-products/oikos-protein-shakes/product/chocolate-4-pack/?bvstate=pg:2/ct:r,0,0,2,0,0%,0%,6.5,0
https://www.oikos.com/greek-yogurt/oikos-pro/,0,0,2,6,0%,0%,7,3.67
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla?bvstate=pg:2/ct:r,0,0,2,1,0%,0%,8,35
https://www.oikos.com/content/dam/edp/local/noram/oikos/categories/home-product-grid/Oikos_Remix_Resized.png,0,0,2,0,0%,0%,10,0
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/cherry?bvstate=pg:2/ct:r,0,0,2,0,0%,0%,10.5,0
https://www.oikos.com/all-products/triple-zero/product/peach-multipack/?bvstate=pg:2/ct:r,0,0,2,22,0%,0%,19,8.09
https://www.oikos.com/content/edp/noram/oikos/us/en/all-products/triple-zero/_jcr_content/_cq_featuredimage.coreimg.png/1755871001751/oikos-triple-zero-resized.png,0,0,2,0,0%,0%,21,0
https://www.oikos.com/all-products/oikos-pro/mixed-berry/,0,0,1,0,0%,0%,1,0
https://www.oikos.com/all-products/triple-zero,0,0,1,0,0%,0%,1,0
https://www.oikos.com/all-purpose/triple-zero/product/peach/,0,0,1,0,0%,0%,1,0
https://www.oikos.com/products/pro,0,0,1,0,0%,0%,1,0
https://www.oikos.com/products/triple-zero,0,0,1,4,0%,0%,1,2.25
https://www.oikos.com/all-products/greek-yogurt/plain/,0,0,1,1,0%,0%,2,4
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mixed-berry?bvstate=pg:2/ct:r,0,0,1,4,0%,0%,2,13
https://www.oikos.com/all-products/blended-nonfat-greek-yogurt/,0,0,1,1,0%,0%,3,3
https://www.oikos.com/all-products/oikos-pro-yogurt-vanilla/,0,0,1,0,0%,0%,3,0
https://www.oikos.com/all-products/pro/plain/,0,0,1,0,0%,0%,3,0
https://www.oikos.com/greek-yogurt/blended-nonfat/,0,0,1,0,0%,0%,3,0
https://www.oikos.com/greek-yogurt/blended/,0,0,1,0,0%,0%,3,0
https://www.oikos.com/where-tobuy/,0,0,1,0,0%,0%,3,0
https://www.oikos.com/all-products/blended/,0,0,1,0,0%,0%,4,0
https://www.oikos.com/all-products/blended/product/vanilla-bean-cup/,0,0,1,0,0%,0%,4,0
https://www.oikos.com/products/triple-zero/mixed-berry/,0,0,1,0,0%,0%,4,0
https://www.oikos.com/all-products/greek-yogurt/,0,0,1,1,0%,0%,5,3
https://www.oikos.com/greek-yogurt/blended-nonfat/plain/,0,0,1,0,0%,0%,6,0
https://www.oikos.com/content/dam/edp/local/noram/oikos/categories/home-product-grid/Oikos_Shakes_Resized.png,0,0,1,0,0%,0%,9,0
https://www.oikos.com/all-products/oikos-protein-shakes/product/chocolate-15-pack/?bvstate=pg:2/ct:r,0,0,1,0,0%,0%,10,0
https://www.oikos.com/all-products/triple-zero/product/salted-caramel/?bvstate=pg:2/ct:r,0,0,1,6,0%,0%,18,9.33
https://www.oikos.com/content/dam/edp/local/noram/oikos/products/protein-shakes/vanilla/shakes-vanilla-18-pack-landing-page.png,0,0,1,0,0%,0%,28,0
https://www.oikos.com/content/dam/edp/local/noram/oikos/products/protein-shakes/vanilla/shakes-vanilla-15-pack-landing-page.png,0,0,1,0,0%,0%,32,0
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mixed-berry,0,2,0,195,0%,1.03%,0,7.17
https://www.oikos.com/all-products/triple-zero/product/mixed-berry-multipack/?bvstate=pg:2/ct:r,0,1,0,200,0%,0.50%,0,8.49
https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-shot,0,0,0,96,0%,0%,0,9.74
