Keyword,Difficulty,Position,"Previous position","Position Serp Features","Search vol.","Search intent","SERP features",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
"oikos protein yogurt",82,4,8,,33100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.64,https://www.oikos.com/all-products/triple-zero/,284,0.51,181.76
"oikos protein shake",86,1,,"AI Overview",40500,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.31,https://www.oikos.com/all-products/oikos-protein-shakes/,267,0.48,82.77
"yogurt oikos",71,1,1,Sitelinks,3200,C,"Reviews, Sitelinks, Video, Images, Shopping results, Related searches",1,10,https://www.oikos.com/,240,0.43,2400
oikos,86,1,1,Sitelinks,33100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.81,0.32,https://www.oikos.com/all-products/,232,0.42,74.24
"oikos yogurt drink",70,1,,Sitelinks,3200,"L, C","Local pack, Reviews, Sitelinks, Video, Images, Shopping results, Related searches",1,0.58,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,224,0.4,129.92
"oikos yogurt protein",66,1,2,,5400,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Sites",1,0.64,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,221,0.4,141.44
"oikos protein shakes",65,2,1,,4400,C,"Reviews, Video, People also ask, Images, Shopping results, Find results on, AI Overview, Related searches, Sites",1,0.31,https://www.oikos.com/all-products/oikos-protein-shakes/,219,0.39,67.89
"oikos triple zero",92,1,,"AI Overview",74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,217,0.39,121.52
"oikos yogurt",93,1,2,Sitelinks,74000,C,"Reviews, Sitelinks, Video, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,209,0.37,2090
"oikos yogurt",93,1,2,Sitelinks,74000,C,"Reviews, Sitelinks, Video, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/where-to-buy/,207,0.37,2070
"greek yogurt protein",92,14,,Reviews,33100,C,"Reviews, Video, People also ask, Images, Shopping results, Sports, Related searches",0.91,0.04,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/plain-quart/,200,0.36,8
"oikos triple zero",92,1,,"AI Overview",74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/product/strawberry/,194,0.35,108.64
"oikos triple zero nutrition",75,1,,"AI Overview",20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/,174,0.31,67.86
"oikos triple zero yogurt",69,2,1,Sitelinks,9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,170,0.3,93.5
"oikos triple zero calories",73,3,,Reviews,22400,C,"Reviews, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/plain-quart/,159,0.28,62.01
"oikos triple zero yogurt nutrition facts",55,2,,Reviews,2900,I,"Reviews, Images, AI Overview, Related searches",0.89,0.27,https://www.oikos.com/all-products/triple-zero/product/vanilla/,158,0.28,42.66
"oikos pro",85,1,,Sitelinks,12100,C,"Sitelinks, Video, People also ask, Images, Shopping results, Related searches",1,9.45,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/plain-quart/,157,0.28,1483.65
"yogurt high protein",84,10,,,47500,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Sites",0.39,0.04,https://www.oikos.com/all-products/triple-zero/,148,0.27,5.92
oikos,86,1,1,Sitelinks,33100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.81,0.32,https://www.oikos.com/all-products/oikos-protein-shakes/,147,0.26,47.04
"oikos triple zero greek yogurt",70,2,1,Sitelinks,1800,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Find results on, AI Overview, Related searches",0.79,0.56,https://www.oikos.com/all-products/triple-zero/,143,0.26,80.08
"oikos protein yogurt",82,14,71,,33100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.64,https://www.oikos.com/,127,0.23,81.28
"oikos triple zero",92,25,97,,74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/,121,0.22,67.76
"oikos vanilla",61,1,1,Reviews,1300,C,"Reviews, Video, People also ask, Images, Knowledge Panel, Shopping results, Related searches",0.98,0.52,https://www.oikos.com/all-products/triple-zero/product/vanilla/,118,0.21,61.36
"oikos triple zero calories",73,1,,"AI Overview",22400,C,"Reviews, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,116,0.21,45.24
"oikos greek yogurt",80,2,2,,14800,C,"Reviews, Video, People also ask, Images, Shopping results, Find results on, Related searches",1,10,https://www.oikos.com/,112,0.2,1120
oiko,23,1,1,Sitelinks,440,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.81,0.32,https://www.oikos.com/,111,0.2,35.52
oikos,86,1,1,Sitelinks,33100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.81,0.32,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,109,0.2,34.88
"triple zero yogurt",61,1,,"AI Overview",6600,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.98,0.55,https://www.oikos.com/all-products/triple-zero/,105,0.19,57.75
"high protein greek yogurt",91,7,17,,20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.25,0.04,https://www.oikos.com/,104,0.19,4.16
"triple zero yogurt",61,3,2,,6600,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.98,0.55,https://www.oikos.com/all-products/triple-zero/,103,0.18,56.65
"triple zero greek yogurt",61,2,1,,2400,C,"Reviews, Video, Images, Shopping results, Find results on, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/,101,0.18,55.55
oukos,11,1,1,Sitelinks,540,"L, N","Local pack, Reviews, Sitelinks, Video, Images, Find results on, Related searches",0.81,0.32,https://www.oikos.com/,100,0.18,32
"oikos protein yogurt",82,1,,"AI Overview",33100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.64,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/plain-quart/,96,0.17,61.44
"oikos protein shake",86,1,,"AI Overview",40500,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.31,https://www.oikos.com/all-products/oikos-protein-shakes/product/chocolate/,94,0.17,29.14
"triple zero",64,1,1,,1300,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches",0.5,2.01,https://www.oikos.com/all-products/triple-zero/,92,0.16,184.92
"calories in oikos triple zero",77,1,,"AI Overview",12100,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/strawberry/,90,0.16,35.1
"okis yogurt",10,1,1,Sitelinks,540,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/,87,0.16,870
"oikos triple zero yogurt",69,2,1,Sitelinks,9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/vanilla-quart/,86,0.15,47.3
oikos,86,1,,Sitelinks,33100,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.81,0.32,https://www.oikos.com/where-to-buy/,85,0.15,27.2
"oikos triple zero nutrition",75,1,,"AI Overview",20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/vanilla/,85,0.15,33.15
"oikos triple zero nutrition",75,1,,"AI Overview",20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/peach/,85,0.15,33.15
"oikos dannon",15,1,,Sitelinks,590,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.81,0.54,https://www.oikos.com/,85,0.15,45.9
"triple oikos",17,1,1,Sitelinks,480,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.98,0.55,https://www.oikos.com/all-products/triple-zero/,83,0.15,45.65
"is oikos greek yogurt",65,2,,,1500,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.14,10,https://www.oikos.com/,83,0.15,830
"oikos triple zero vanilla",61,2,1,Reviews,1600,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.96,0.28,https://www.oikos.com/all-products/triple-zero/product/vanilla/,81,0.15,22.68
"dannon oikos",15,1,1,Sitelinks,590,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.81,0.54,https://www.oikos.com/,79,0.14,42.66
"oikos triple zero",92,17,,Images,74000,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,78,0.14,43.68
"dannon oikos triple zero",14,1,1,Sitelinks,480,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.96,0.33,https://www.oikos.com/all-products/triple-zero/,74,0.13,24.42
"dannon oiko",15,1,2,Sitelinks,590,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.81,0.54,https://www.oikos.com/,73,0.13,39.42
"oikos triple zero calories",73,1,,"AI Overview",22400,C,"Reviews, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/plain-quart/,72,0.13,28.08
"oikos protein",60,1,1,,1900,C,"Reviews, Video, People also ask, Images, Shopping results, Find results on, Related searches",1,7.37,https://www.oikos.com/all-products/oikos-protein-shakes/,72,0.13,530.64
"oikos protein shake",86,10,14,Reviews,40500,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.31,https://www.oikos.com/all-products/oikos-protein-shakes/product/vanilla/,72,0.13,22.32
"oikos pro yogurt",67,2,,Sitelinks,5400,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.99,2.26,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/plain-quart/,70,0.13,158.2
"oikos triple zero nutrition",75,11,,Reviews,20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,69,0.12,26.91
"oikos tripple zero",8,2,2,Sitelinks,500,C,"Reviews, Sitelinks, Video, Top stories, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,69,0.12,38.64
"oikos protein yogurt",82,11,26,Reviews,33100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.64,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/plain-quart/,65,0.12,41.6
"oikos triple zero nutrition",75,12,,Reviews,20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/cherry/,65,0.12,25.35
"oikos protein drink",68,1,1,,1800,"L, C","Local pack, Reviews, Video, People also ask, Images, Shopping results, Find results on, Related searches",1,0.54,https://www.oikos.com/all-products/oikos-protein-shakes/,65,0.12,35.1
"oikos triple zero yogurt",69,2,1,Sitelinks,9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/strawberry/,64,0.11,35.2
"oikos yogurt flavors",13,1,,Sitelinks,480,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.92,0.5,https://www.oikos.com/all-products/,63,0.11,31.5
"oikos salted caramel",6,1,2,Reviews,480,C,"Reviews, Video, People also ask, Images, Knowledge Panel, Shopping results, Related searches",0.94,0.29,https://www.oikos.com/all-products/triple-zero/product/salted-caramel/,63,0.11,18.27
"oikos logo",17,1,,Sitelinks,210,"I, N","Reviews, Sitelinks, Video, People also ask, Related searches",0,0,https://www.oikos.com/,62,0.11,0
"logo oikos",14,1,,Sitelinks,210,"I, N","Reviews, Sitelinks, Video, People also ask, Related searches",0,0,https://www.oikos.com/,62,0.11,0
"oikos pro plain yogurt",19,1,2,Reviews,480,"L, C","Local pack, Reviews, Video, People also ask, Images, Knowledge Panel, Shopping results, Related searches, Sites",0.92,0.63,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/plain-quart/,61,0.11,38.43
"oikos berry yogurt",6,1,1,Reviews,590,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches",0.97,0.52,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,61,0.11,31.72
"calories in oikos triple zero",77,7,19,Reviews,12100,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/plain-quart/,60,0.11,23.4
"oikos flip yogurt",13,1,,,320,"L, C","Local pack, Reviews, Video, People also ask, Images, Related searches",0.97,0.39,https://www.oikos.com/,60,0.11,23.4
"oykos yogurt",15,1,1,Sitelinks,480,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.94,10,https://www.oikos.com/,58,0.1,580
"oikos triple zero mixed berry",6,1,1,Sitelinks,320,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, Related searches",0.9,0.24,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,57,0.1,13.68
"is oikos greek yogurt",65,1,1,"AI Overview",1500,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.14,10,https://www.oikos.com/,57,0.1,570
"oikos pro 23g protein",6,1,,,590,C,"Reviews, Video, People also ask, Images, Shopping results, Find results on, Related searches, Sites",1,0.39,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,56,0.1,21.84
"oikos pro",85,1,,Sitelinks,12100,C,"Sitelinks, Video, People also ask, Images, Shopping results, Related searches",1,9.45,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/vanilla/,55,0.1,519.75
"oikos yogurt flavours",14,2,,Sitelinks,480,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.92,0.5,https://www.oikos.com/all-products/,55,0.1,27.5
"oikos.triple zero",14,2,2,Sitelinks,500,C,"Reviews, Sitelinks, Video, People also ask, Knowledge Panel, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,55,0.1,30.8
"oikos blueberry yogurt",6,1,1,Reviews,590,"L, C","Local pack, Reviews, Video, People also ask, Images, Shopping results, Related searches",0.97,0.52,https://www.oikos.com/all-products/triple-zero/product/blueberry/,54,0.1,28.08
"oikos triple 0",14,2,1,Sitelinks,480,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,54,0.1,30.24
"oikos triple",14,2,1,Sitelinks,480,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, Find results on, AI Overview, Related searches",0.98,0.55,https://www.oikos.com/all-products/triple-zero/,54,0.1,29.7
"oikos triple zero calories",73,8,,Reviews,22400,C,"Reviews, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,53,0.09,20.67
"oikos greek yogurt",80,5,32,,14800,C,"Reviews, Video, People also ask, Images, Shopping results, Find results on, Related searches",1,10,https://www.oikos.com/protein-101/why-greek-yogurt/,52,0.09,520
"oikos 30g protein shake",7,1,2,,590,"L, C","Local pack, Reviews, Video, People also ask, Images, Shopping results, Find results on, Related searches",1,0.28,https://www.oikos.com/all-products/oikos-protein-shakes/,52,0.09,14.56
"oikos triple zero yogurt",69,2,,Sitelinks,9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/plain-quart/,51,0.09,28.05
"oikos triple zero yogurt",69,2,,Sitelinks,9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/peach/,51,0.09,28.05
"oikos vanilla greek yogurt",64,1,1,Reviews,1500,C,"Reviews, Video, People also ask, Images, Knowledge Panel, Shopping results, Related searches",0.99,0.47,https://www.oikos.com/all-products/triple-zero/product/vanilla/,49,0.09,23.03
"oikos zero sugar yogurt",14,1,1,Sitelinks,320,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",1,0.58,https://www.oikos.com/all-products/triple-zero/,49,0.09,28.42
"calories in oikos triple zero",77,11,,Reviews,12100,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,49,0.09,19.11
"oikos strawberry banana drink",7,1,1,Reviews,320,C,"Reviews, Video, People also ask, Images, Knowledge Panel, Shopping results, Related searches",0.93,0.52,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/strawberry-banana-drink/,48,0.09,24.96
"oikos triple zero calories",73,9,,Reviews,22400,C,"Reviews, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/strawberry/,47,0.08,18.33
"oikos mixed berry",6,1,,Reviews,480,C,"Reviews, Video, People also ask, Images, Knowledge Panel, Shopping results, Related searches",1,0.52,https://www.oikos.com/all-products/triple-zero/product/mixed-berry/,47,0.08,24.44
"oikos zero sugar",14,1,1,Sitelinks,320,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,47,0.08,26.32
"oikos mix ins",6,1,,Sitelinks,260,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Related searches",0.98,1.85,https://www.oikos.com/all-products/remix/,46,0.08,85.1
"oikos remix yogurt",5,1,1,,260,"L, C","Local pack, Reviews, Video, People also ask, Images, Related searches",0.96,1,https://www.oikos.com/all-products/remix/,45,0.08,45
"oikos pro drink",66,1,,Sitelinks,3100,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, Find results on, Related searches",1,0.56,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach-drink/,45,0.08,25.2
"oikos triple zero ingredients",6,2,2,Reviews,810,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.7,0.33,https://www.oikos.com/all-products/triple-zero/product/vanilla/,44,0.08,14.52
"oikos triple zero yogurt",69,5,,"People also ask",9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/vanilla/,44,0.08,24.2
"oilos triple zero",14,2,1,Sitelinks,500,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,44,0.08,24.64
"oukos pro",14,1,,Sitelinks,210,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.92,10,https://www.oikos.com/all-products/pro-yogurt-cultured-ultra-filtered-milk/,43,0.08,430
"oikos triple zero yogurt",69,1,,"AI Overview",9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/all-products/triple-zero/product/plain-quart/,42,0.08,23.1
"yogures oikos",16,1,1,Sitelinks,320,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, Find results on, Related searches",0.98,10,https://www.oikos.com/,42,0.08,420
"oikos mix in",9,2,2,Sitelinks,260,"I, N","Reviews, Sitelinks, Video, People also ask, Images, AI Overview, Related searches",0.98,1.85,https://www.oikos.com/all-products/remix/,42,0.08,77.7
"okios triple zero",14,2,,Sitelinks,480,"L, C","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,0.56,https://www.oikos.com/all-products/triple-zero/,42,0.08,23.52
"oikos greek",25,1,,"AI Overview",660,I,"Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview, Related searches",0.69,10,https://www.oikos.com/,41,0.07,410
"oikos protein shake",86,18,,Images,40500,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches, Sites",1,0.31,https://www.oikos.com/all-products/oikos-protein-shakes/product/vanilla/,41,0.07,12.71
"oikos triple zero nutrition",75,20,,Reviews,20100,C,"Reviews, Video, People also ask, Images, Shopping results, AI Overview, Related searches",0.93,0.39,https://www.oikos.com/all-products/triple-zero/product/plain-quart/,40,0.07,15.6
"oikos yougurt",10,1,1,Sitelinks,220,C,"Reviews, Sitelinks, Video, Top stories, People also ask, Images, Shopping results, Related searches",0.99,10,https://www.oikos.com/,40,0.07,400
"oikos triple zero yogurt",69,5,,"People also ask",9900,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, Shopping results, AI Overview, Related searches",0.94,0.55,https://www.oikos.com/protein-101/protein-and-exercise/,40,0.07,22
"oikos triple zero protein",17,2,2,Sitelinks,390,C,"Reviews, Sitelinks, Video, People also ask, Images, Shopping results, AI Overview, Related searches",1,10,https://www.oikos.com/all-products/triple-zero/,40,0.07,400
"greek yogurt black container",13,1,1,,260,I,"Reviews, Video, Related searches",0.93,0,https://www.oikos.com/all-products/triple-zero/,40,0.07,0
okikos,11,1,,Sitelinks,210,"L, N","Local pack, Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.03,0,https://www.oikos.com/,39,0.07,0
